,date,hour,temperature_2m,snowfall,rain,weather_code,snow_depth,showers,Boro,Vol,street,fromSt,toSt,Direction
38,2024-01-06,7,26.2535,0.0,0.0,0.0,0.0,0.0,Brooklyn,15,METROPOLITAN AVENUE,Dead end,Varick Avenue,WB
39,2024-01-06,7,26.2535,0.0,0.0,0.0,0.0,0.0,Manhattan,65,9 AVENUE,West 219 Street,West 220 Street,SB
40,2024-01-06,8,26.8835,0.0,0.0,0.0,0.0,0.0,Queens,45,BROADWAY,Queens Boulevard,Queens Boulevard Line,SB
41,2024-01-06,8,26.8835,0.0,0.0,0.0,0.0,0.0,Queens,43,GRAND AVENUE,72 Street,Mazeau Street,EB
42,2024-01-06,8,26.8835,0.0,0.0,0.0,0.0,0.0,Queens,42,BROADWAY,Queens Boulevard Line,Queens Boulevard,NB
43,2024-01-06,8,26.8835,0.0,0.0,0.0,0.0,0.0,Brooklyn,21,METROPOLITAN AVENUE,Dead end,Varick Avenue,WB
44,2024-01-06,8,26.8835,0.0,0.0,0.0,0.0,0.0,Manhattan,14,9 AVENUE,West 219 Street,West 220 Street,SB
45,2024-01-06,9,26.4335,0.0,0.0,2.0,0.0,0.0,Queens,64,BROADWAY,Queens Boulevard,Queens Boulevard Line,SB
46,2024-01-06,9,26.4335,0.0,0.0,2.0,0.0,0.0,Queens,69,GRAND AVENUE,72 Street,Mazeau Street,EB
47,2024-01-06,9,26.4335,0.0,0.0,2.0,0.0,0.0,Queens,63,BROADWAY,Queens Boulevard Line,Queens Boulevard,NB
48,2024-01-06,9,26.4335,0.0,0.0,2.0,0.0,0.0,Brooklyn,31,METROPOLITAN AVENUE,Dead end,Varick Avenue,WB
49,2024-01-06,9,26.4335,0.0,0.0,2.0,0.0,0.0,Manhattan,21,9 AVENUE,West 219 Street,West 220 Street,SB
50,2024-01-06,10,27.0635,0.0,0.0,3.0,0.0,0.0,Queens,79,BROADWAY,Queens Boulevard,Queens Boulevard Line,SB
51,2024-01-06,10,27.0635,0.0,0.0,3.0,0.0,0.0,Queens,75,GRAND AVENUE,72 Street,Mazeau Street,EB
52,2024-01-06,10,27.0635,0.0,0.0,3.0,0.0,0.0,Queens,75,BROADWAY,Queens Boulevard Line,Queens Boulevard,NB
53,2024-01-06,10,27.0635,0.0,0.0,3.0,0.0,0.0,Brooklyn,30,METROPOLITAN AVENUE,Dead end,Varick Avenue,WB
54,2024-01-06,10,27.0635,0.0,0.0,3.0,0.0,0.0,Manhattan,12,9 AVENUE,West 219 Street,West 220 Street,SB
55,2024-01-06,11,27.0635,0.0,0.0,3.0,0.0,0.0,Brooklyn,29,METROPOLITAN AVENUE,Dead end,Varick Avenue,WB
56,2024-01-06,11,27.0635,0.0,0.0,3.0,0.0,0.0,Queens,72,BROADWAY,Queens Boulevard,Queens Boulevard Line,SB
57,2024-01-06,11,27.0635,0.0,0.0,3.0,0.0,0.0,Queens,78,GRAND AVENUE,72 Street,Mazeau Street,EB
58,2024-01-06,11,27.0635,0.0,0.0,3.0,0.0,0.0,Queens,66,BROADWAY,Queens Boulevard Line,Queens Boulevard,NB
59,2024-01-06,11,27.0635,0.0,0.0,3.0,0.0,0.0,Manhattan,12,9 AVENUE,West 219 Street,West 220 Street,SB
60,2024-01-06,12,27.8735,0.0,0.0,3.0,0.0,0.0,Queens,70,BROADWAY,Queens Boulevard,Queens Boulevard Line,SB
61,2024-01-06,12,27.8735,0.0,0.0,3.0,0.0,0.0,Brooklyn,30,METROPOLITAN AVENUE,Dead end,Varick Avenue,WB
62,2024-01-06,12,27.8735,0.0,0.0,3.0,0.0,0.0,Queens,105,GRAND AVENUE,72 Street,Mazeau Street,EB
63,2024-01-06,12,27.8735,0.0,0.0,3.0,0.0,0.0,Queens,61,BROADWAY,Queens Boulevard Line,Queens Boulevard,NB
64,2024-01-06,12,27.8735,0.0,0.0,3.0,0.0,0.0,Manhattan,19,9 AVENUE,West 219 Street,West 220 Street,SB
65,2024-01-06,13,28.5935,0.0,0.0,3.0,0.0,0.0,Queens,78,BROADWAY,Queens Boulevard,Queens Boulevard Line,SB
66,2024-01-06,13,28.5935,0.0,0.0,3.0,0.0,0.0,Brooklyn,25,METROPOLITAN AVENUE,Dead end,Varick Avenue,WB
67,2024-01-06,13,28.5935,0.0,0.0,3.0,0.0,0.0,Queens,94,GRAND AVENUE,72 Street,Mazeau Street,EB
68,2024-01-06,13,28.5935,0.0,0.0,3.0,0.0,0.0,Queens,59,BROADWAY,Queens Boulevard Line,Queens Boulevard,NB
69,2024-01-06,13,28.5935,0.0,0.0,3.0,0.0,0.0,Manhattan,19,9 AVENUE,West 219 Street,West 220 Street,SB
70,2024-01-06,14,31.1135,0.0,0.0,3.0,0.0,0.0,Queens,73,BROADWAY,Queens Boulevard,Queens Boulevard Line,SB
71,2024-01-06,14,31.1135,0.0,0.0,3.0,0.0,0.0,Brooklyn,24,METROPOLITAN AVENUE,Dead end,Varick Avenue,WB
72,2024-01-06,14,31.1135,0.0,0.0,3.0,0.0,0.0,Queens,91,GRAND AVENUE,72 Street,Mazeau Street,EB
73,2024-01-06,14,31.1135,0.0,0.0,3.0,0.0,0.0,Queens,66,BROADWAY,Queens Boulevard Line,Queens Boulevard,NB
74,2024-01-06,14,31.1135,0.0,0.0,3.0,0.0,0.0,Manhattan,17,9 AVENUE,West 219 Street,West 220 Street,SB
75,2024-01-06,15,33.7235,0.0,0.0,3.0,0.0,0.0,Queens,67,BROADWAY,Queens Boulevard,Queens Boulevard Line,SB
76,2024-01-06,15,33.7235,0.0,0.0,3.0,0.0,0.0,Brooklyn,24,METROPOLITAN AVENUE,Dead end,Varick Avenue,WB
77,2024-01-06,15,33.7235,0.0,0.0,3.0,0.0,0.0,Queens,98,GRAND AVENUE,72 Street,Mazeau Street,EB
78,2024-01-06,15,33.7235,0.0,0.0,3.0,0.0,0.0,Queens,71,BROADWAY,Queens Boulevard Line,Queens Boulevard,NB
