RequestID,Boro,M,D,Yr,HH,Vol,SegmentID,street,fromSt,toSt,Direction
37160,Bronx,1,15,2024,6,44,70542,EAST 149 STREET,Jackson Avenue,Concord Avenue,WB
37160,Bronx,1,15,2024,7,48,70542,EAST 149 STREET,Jackson Avenue,Concord Avenue,WB
37160,Bronx,1,15,2024,8,52,70542,EAST 149 STREET,Jackson Avenue,Concord Avenue,WB
37160,Bronx,1,15,2024,9,71,70542,EAST 149 STREET,Jackson Avenue,Concord Avenue,WB
37160,Bronx,1,15,2024,10,59,70542,EAST 149 STREET,Jackson Avenue,Concord Avenue,WB
37160,Bronx,1,15,2024,11,70,70542,EAST 149 STREET,Jackson Avenue,Concord Avenue,WB
37160,Bronx,1,15,2024,12,83,70542,EAST 149 STREET,Jackson Avenue,Concord Avenue,WB
37160,Bronx,1,15,2024,13,73,70542,EAST 149 STREET,Jackson Avenue,Concord Avenue,WB
37160,Bronx,1,15,2024,14,104,70542,EAST 149 STREET,Jackson Avenue,Concord Avenue,WB
37160,Bronx,1,15,2024,15,102,70542,EAST 149 STREET,Jackson Avenue,Concord Avenue,WB
37160,Bronx,1,15,2024,16,104,70542,EAST 149 STREET,Jackson Avenue,Concord Avenue,WB
37160,Bronx,1,15,2024,17,83,70542,EAST 149 STREET,Jackson Avenue,Concord Avenue,WB
37160,Bronx,1,15,2024,18,86,70542,EAST 149 STREET,Jackson Avenue,Concord Avenue,WB
37160,Bronx,1,15,2024,19,59,70542,EAST 149 STREET,Jackson Avenue,Concord Avenue,WB
37160,Bronx,1,15,2024,20,57,70542,EAST 149 STREET,Jackson Avenue,Concord Avenue,WB
37203,Queens,1,27,2024,16,16,9000515,160 STREET,Dead End,Dead end,SB
37203,Queens,1,27,2024,17,23,9000515,160 STREET,Dead End,Dead end,SB
37203,Queens,1,27,2024,18,14,9000515,160 STREET,Dead End,Dead end,SB
37203,Queens,1,27,2024,19,11,9000515,160 STREET,Dead End,Dead end,SB
37203,Queens,1,27,2024,20,11,9000515,160 STREET,Dead End,Dead end,SB
37203,Queens,1,27,2024,21,12,9000515,160 STREET,Dead End,Dead end,SB
37203,Queens,1,27,2024,22,9,9000515,160 STREET,Dead End,Dead end,SB
37203,Queens,1,27,2024,23,11,9000515,160 STREET,Dead End,Dead end,SB
37203,Queens,1,28,2024,0,14,9000515,160 STREET,Dead End,Dead end,SB
37203,Queens,1,28,2024,1,10,9000515,160 STREET,Dead End,Dead end,SB
37203,Queens,1,28,2024,2,9,9000515,160 STREET,Dead End,Dead end,SB
37203,Queens,1,28,2024,3,8,9000515,160 STREET,Dead End,Dead end,SB
37203,Queens,1,28,2024,4,3,9000515,160 STREET,Dead End,Dead end,SB
37203,Queens,1,28,2024,5,6,9000515,160 STREET,Dead End,Dead end,SB
37203,Queens,1,28,2024,6,3,9000515,160 STREET,Dead End,Dead end,SB
37203,Queens,1,28,2024,7,3,9000515,160 STREET,Dead End,Dead end,SB
37203,Queens,1,28,2024,8,6,9000515,160 STREET,Dead End,Dead end,SB
37203,Queens,1,28,2024,9,14,9000515,160 STREET,Dead End,Dead end,SB
37203,Queens,1,28,2024,10,6,9000515,160 STREET,Dead End,Dead end,SB
37203,Queens,1,28,2024,11,9,9000515,160 STREET,Dead End,Dead end,SB
37203,Queens,1,28,2024,12,11,9000515,160 STREET,Dead End,Dead end,SB
37203,Queens,1,28,2024,13,22,9000515,160 STREET,Dead End,Dead end,SB
37203,Queens,1,28,2024,14,10,9000515,160 STREET,Dead End,Dead end,SB
37203,Queens,1,28,2024,15,17,9000515,160 STREET,Dead End,Dead end,SB
37203,Queens,1,28,2024,16,20,9000515,160 STREET,Dead End,Dead end,SB
37203,Queens,1,28,2024,17,17,9000515,160 STREET,Dead End,Dead end,SB
37203,Queens,1,28,2024,18,22,9000515,160 STREET,Dead End,Dead end,SB
37203,Queens,1,28,2024,19,11,9000515,160 STREET,Dead End,Dead end,SB
37203,Queens,1,28,2024,20,4,9000515,160 STREET,Dead End,Dead end,SB
37203,Queens,1,28,2024,21,9,9000515,160 STREET,Dead End,Dead end,SB
37203,Queens,1,28,2024,22,5,9000515,160 STREET,Dead End,Dead end,SB
37203,Queens,1,28,2024,23,6,9000515,160 STREET,Dead End,Dead end,SB
37203,Queens,1,29,2024,0,6,9000515,160 STREET,Dead End,Dead end,SB
37203,Queens,1,29,2024,1,11,9000515,160 STREET,Dead End,Dead end,SB
37203,Queens,1,29,2024,2,7,9000515,160 STREET,Dead End,Dead end,SB
37203,Queens,1,29,2024,3,3,9000515,160 STREET,Dead End,Dead end,SB
37203,Queens,1,29,2024,4,4,9000515,160 STREET,Dead End,Dead end,SB
37203,Queens,1,29,2024,5,1,9000515,160 STREET,Dead End,Dead end,SB
37203,Queens,1,29,2024,6,1,9000515,160 STREET,Dead End,Dead end,SB
37203,Queens,1,29,2024,7,8,9000515,160 STREET,Dead End,Dead end,SB
37203,Queens,1,17,2024,18,34,57162,109 AVENUE,143 Street,Pinegrove Street,EB
37203,Queens,1,17,2024,19,32,57162,109 AVENUE,143 Street,Pinegrove Street,EB
37203,Queens,1,17,2024,20,19,57162,109 AVENUE,143 Street,Pinegrove Street,EB
37203,Queens,1,17,2024,21,26,57162,109 AVENUE,143 Street,Pinegrove Street,EB
37203,Queens,1,17,2024,22,14,57162,109 AVENUE,143 Street,Pinegrove Street,EB
37203,Queens,1,17,2024,23,8,57162,109 AVENUE,143 Street,Pinegrove Street,EB
37203,Queens,1,18,2024,0,12,57162,109 AVENUE,143 Street,Pinegrove Street,EB
37203,Queens,1,18,2024,1,4,57162,109 AVENUE,143 Street,Pinegrove Street,EB
37203,Queens,1,18,2024,2,3,57162,109 AVENUE,143 Street,Pinegrove Street,EB
37203,Queens,1,18,2024,3,2,57162,109 AVENUE,143 Street,Pinegrove Street,EB
37203,Queens,1,18,2024,4,0,57162,109 AVENUE,143 Street,Pinegrove Street,EB
37203,Queens,1,18,2024,5,3,57162,109 AVENUE,143 Street,Pinegrove Street,EB
37203,Queens,1,18,2024,6,6,57162,109 AVENUE,143 Street,Pinegrove Street,EB
37203,Queens,1,18,2024,7,30,57162,109 AVENUE,143 Street,Pinegrove Street,EB
37203,Queens,1,18,2024,8,70,57162,109 AVENUE,143 Street,Pinegrove Street,EB
37203,Queens,1,18,2024,9,23,57162,109 AVENUE,143 Street,Pinegrove Street,EB
37203,Queens,1,18,2024,10,17,57162,109 AVENUE,143 Street,Pinegrove Street,EB
37203,Queens,1,18,2024,11,26,57162,109 AVENUE,143 Street,Pinegrove Street,EB
37203,Queens,1,18,2024,12,17,57162,109 AVENUE,143 Street,Pinegrove Street,EB
37203,Queens,1,18,2024,13,23,57162,109 AVENUE,143 Street,Pinegrove Street,EB
37203,Queens,1,18,2024,14,41,57162,109 AVENUE,143 Street,Pinegrove Street,EB
37203,Queens,1,18,2024,15,38,57162,109 AVENUE,143 Street,Pinegrove Street,EB
37203,Queens,1,18,2024,16,49,57162,109 AVENUE,143 Street,Pinegrove Street,EB
37203,Queens,1,18,2024,17,45,57162,109 AVENUE,143 Street,Pinegrove Street,EB
37203,Queens,1,18,2024,18,39,57162,109 AVENUE,143 Street,Pinegrove Street,EB
